arm,run_id,iter,started_at,ended_at,tts_seconds,lint_ok,test_ok,lint_duration_s,test_duration_s,sync_duration_s,ci_pipeline_id,ci_workflow_id,ci_lint_job_num,ci_test_job_num,git_sha,notes,ci_workflow_credits,ci_gate_credits,ci_cost_usd,sidecar_credits_est,sidecar_cost_usd,llm_tokens,llm_cost_usd
ci,20260527-220610,1,2026-05-27T22:07:39Z,2026-05-27T22:08:51Z,72,pass,pass,31.0,37.0,,8c98bf3b-844b-445e-88c4-12bb7ffdd6e7,17c6fa84-6150-4f84-8071-c18b02c9472f,7512,7514,712554b,,18,18,0.0108,,,1636,0.076788
ci,20260527-220610,2,2026-05-27T22:11:11Z,2026-05-27T22:11:50Z,39,fail,pass,26.0,29.0,,e35f7b4e-63d6-47c1-afd1-d8c871d6ec45,941c69a8-5ba1-4fe6-890a-4f2c5bd24794,7520,7518,acda43f,,15,15,0.009,,,1567,0.066023
ci,20260527-220610,3,2026-05-27T22:12:33Z,2026-05-27T22:13:42Z,69,pass,pass,31.0,32.0,,bec5b703-a43e-4f1a-b83f-3e95887699c9,374bdb5b-6d60-4a28-a5f1-df2fb0443b9a,7525,7524,be67898,,20,20,0.012,,,1315,0.065397
ci,20260527-220610,4,2026-05-27T22:14:57Z,2026-05-27T22:16:06Z,69,pass,pass,30.0,28.0,,cd62d71a-3c92-481b-b931-bd145c2e1cf2,db8a6390-e5f2-4320-85fe-fd01bd94a266,7530,7529,e8600c8,,20,20,0.012,,,2952,0.155118
ci,20260527-220610,5,2026-05-27T22:16:43Z,2026-05-27T22:17:53Z,69,pass,fail,34.0,31.0,,8f0ae8d8-e41b-4dc1-bdeb-3ff239df1092,d14df651-5031-434d-b39e-6ef2925b3fc1,7532,7535,bd545e0,,22,22,0.0132,,,1258,0.054996
ci,20260527-220610,6,2026-05-27T22:18:35Z,2026-05-27T22:20:30Z,114,pass,pass,44.0,51.0,,a2742463-118a-4381-aa52-e4a9442a9187,35ebea8d-8b66-47c0-bf1e-5836d1ee6aca,7540,7539,da33e7f,,25,25,0.015,,,1493,0.069131
ci,20260527-220610,7,2026-05-27T22:20:58Z,2026-05-27T22:21:37Z,39,fail,fail,23.0,30.0,,8bddc53b-ee52-4d97-bb44-280bad8d663d,12153305-45c9-4861-921e-e6bc4741f765,7544,7542,4b73e5d,,15,15,0.009,,,1010,0.040937
ci,20260527-220610,8,2026-05-27T22:23:00Z,2026-05-27T22:23:57Z,57,pass,pass,30.0,30.0,,b4332924-81c4-4e16-b951-22a933e38cb4,d716c7a5-a501-47f3-955c-c9b296eccd7d,7549,7547,fa06ca7,,19,19,0.0114,,,4048,0.180211
ci,20260527-220610,9,2026-05-27T22:25:17Z,2026-05-27T22:26:27Z,69,pass,pass,44.0,31.0,,d83ddb17-b0e8-42a0-a873-d8d5142d657b,7b817d79-485e-4d0d-9bb8-6c3a72ae1580,7555,7553,65dd800,,23,23,0.0138,,,2564,0.11496
ci,20260527-220610,10,2026-05-27T22:28:01Z,2026-05-27T22:28:55Z,54,pass,pass,27.0,30.0,,3d3a6fa1-2b29-4d8d-8ac1-2aadc29b869e,3710ca8f-88e2-49f4-825a-21945513397a,7558,7557,a455be2,,20,20,0.012,,,3761,0.154103
