arm,run_id,iter,started_at,ended_at,tts_seconds,lint_ok,test_ok,lint_duration_s,test_duration_s,sync_duration_s,ci_pipeline_id,ci_workflow_id,ci_lint_job_num,ci_test_job_num,git_sha,notes,ci_workflow_credits,ci_gate_credits,ci_cost_usd,sidecar_credits_est,sidecar_cost_usd,llm_tokens,llm_cost_usd
sidecar,20260527-205229,1,2026-05-27T20:53:19Z,2026-05-27T20:53:43Z,24,pass,pass,12,8,4,,,,,6a901ce,,,,,24,0.0144,1937,0.072326
sidecar,20260527-205229,2,2026-05-27T20:54:09Z,2026-05-27T20:54:29Z,20,fail,pass,6,9,5,,,,,6a901ce,,,,,20,0.012,855,0.038367
sidecar,20260527-205229,3,2026-05-27T20:55:12Z,2026-05-27T20:55:35Z,23,pass,pass,11,8,4,,,,,6a901ce,,,,,23,0.0138,1428,0.072377
sidecar,20260527-205229,4,2026-05-27T20:56:32Z,2026-05-27T20:56:54Z,22,pass,pass,13,5,4,,,,,6a901ce,,,,,22,0.0132,2716,0.136363
sidecar,20260527-205229,5,2026-05-27T20:57:34Z,2026-05-27T20:57:57Z,23,pass,pass,11,6,6,,,,,6a901ce,,,,,23,0.0138,1239,0.054933
sidecar,20260527-205229,6,2026-05-27T20:58:46Z,2026-05-27T20:59:07Z,21,pass,pass,11,6,4,,,,,6a901ce,,,,,21,0.0126,1795,0.080021
sidecar,20260527-205229,7,2026-05-27T20:59:41Z,2026-05-27T20:59:57Z,16,fail,pass,6,6,4,,,,,6a901ce,,,,,16,0.0096,803,0.037724
sidecar,20260527-205229,8,2026-05-27T21:01:28Z,2026-05-27T21:01:50Z,22,pass,pass,13,5,4,,,,,6a901ce,,,,,22,0.0132,3117,0.147423
sidecar,20260527-205229,9,2026-05-27T21:03:03Z,2026-05-27T21:03:25Z,22,pass,pass,12,5,5,,,,,6a901ce,,,,,22,0.0132,2448,0.104515
sidecar,20260527-205229,10,2026-05-27T21:05:04Z,2026-05-27T21:05:25Z,21,pass,pass,12,5,4,,,,,6a901ce,,,,,21,0.0126,3666,0.123581
sidecar,20260527-205229,epilogue,2026-05-27T21:05:26Z,2026-05-27T21:07:01Z,95,pass,pass,38.0,26.0,,4dac5eb9-845f-48c2-a852-f0e7a58fc3e7,69da118d-5932-4b64-85af-eb6a86bf69a0,7403,7404,52bde5c668eb421ebb725f7c2cb35e67b498608a,run 004 sidecar (agent) (workflow=pass),25,25,0.015,,,,
