arm,run_id,iter,started_at,ended_at,tts_seconds,lint_ok,test_ok,lint_duration_s,test_duration_s,sync_duration_s,ci_pipeline_id,ci_workflow_id,ci_lint_job_num,ci_test_job_num,git_sha,notes,ci_workflow_credits,ci_gate_credits,ci_cost_usd,sidecar_credits_est,sidecar_cost_usd,llm_tokens,llm_cost_usd
ci,20260527-231212,1,2026-05-27T23:14:48Z,2026-05-27T23:16:03Z,74,pass,pass,51.0,27.0,,21d55275-a040-4e14-8d14-f713cb053b22,e04b46f9-de51-4718-98fc-bcf38dab818d,7678,7677,5e03fe4,,23,23,0.0138,,,2474,0.110717
ci,20260527-231212,2,2026-05-27T23:16:25Z,2026-05-27T23:17:04Z,39,fail,pass,18.0,29.0,,b97249d4-d18f-49a9-971e-ca1eaf14f0a7,49d1e119-c196-4c7e-9f9a-81df2e7be657,7682,7685,3a4804b,,14,14,0.0084,,,813,0.037751
ci,20260527-231212,3,2026-05-27T23:18:06Z,2026-05-27T23:19:46Z,99,pass,pass,30.0,28.0,,d128a4af-7753-43fd-9fbe-1b3156f62bda,92c6ab68-1797-4f23-b6c2-01679dc99eae,7688,7687,777ad53,,25,25,0.015,,,1940,0.092328
ci,20260527-231212,4,2026-05-27T23:20:38Z,2026-05-27T23:22:02Z,84,pass,pass,50.0,27.0,,9df715f6-f567-4604-9ac9-c6cc9d6277a5,56c71399-e50d-46b6-ad10-ee61ba9f4d37,7694,7692,662b057,,23,23,0.0138,,,2644,0.138789
ci,20260527-231212,5,2026-05-27T23:22:38Z,2026-05-27T23:23:32Z,53,pass,fail,34.0,35.0,,8ddc13dc-c16a-410c-ab25-598ee71eeada,af1c2630-6dcc-40a8-869d-ce9eb2f206ef,7698,7699,87449c1,,18,18,0.0108,,,1136,0.052928
ci,20260527-231212,6,2026-05-27T23:24:13Z,2026-05-27T23:25:37Z,84,pass,pass,52.0,34.0,,e8565a13-15c9-4518-8c8a-9515fd6ee052,54ba977d-8fb6-4302-be16-0f590bdd9f35,7703,7702,2ef36c4,,23,23,0.0138,,,1320,0.06595
ci,20260527-231212,7,2026-05-27T23:26:10Z,2026-05-27T23:27:04Z,54,fail,fail,17.0,35.0,,764975c0-652a-40da-b06b-5dc81fdc3f76,fe65f94f-5089-4da9-af2c-3c8fbefe5632,7708,7709,5e57696,,19,19,0.0114,,,948,0.040049
ci,20260527-231212,8,2026-05-27T23:46:19Z,2026-05-27T23:47:29Z,69,pass,pass,32.0,37.0,,2846a4f7-e7cb-4d9e-bdda-4ec48513ce20,0bfcdad3-b696-46fc-8630-3363392dc99c,7715,7712,9ec3724,,21,21,0.0126,,,4366,0.284958
ci,20260527-231212,9,2026-05-27T23:48:32Z,2026-05-27T23:49:41Z,69,pass,pass,30.0,36.0,,4b6649be-116a-4bef-8668-0081f9f8b16e,d7628a47-80a4-4bbf-89d0-8905e97e3b17,7720,7719,d9bd5c4,,22,22,0.0132,,,2320,0.104839
ci,20260527-231212,10,2026-05-27T23:50:51Z,2026-05-27T23:52:00Z,69,pass,pass,34.0,32.0,,f9e2a705-ac43-4e45-9d90-bf4852f9b2a1,9026e5ed-0bae-49cd-86f2-2d971307e71b,7725,7724,27cd2d2,,20,20,0.012,,,2822,0.125444
